X,Y,T
17.07106781186548,8.449945870788794,18.70313158407708
17.07106781186548,9.025523086275498,18.88692785313567
17.07106781186548,9.571067811865477,19.036045340809352
17.07106781186548,10.116612537455458,19.203346656028714
17.07106781186548,10.692189752942163,19.38308528140056
17.07106781186548,11.237734478532145,19.549655889675595
17.07106781186548,11.783279204122127,19.721297850871206
17.07106781186548,12.358856419608832,19.90977914985298
17.07106781186548,12.904401145198811,20.0832578232472
17.07106781186548,13.449945870788788,20.253026902193707
17.07106781186548,14.025523086275493,20.443966270519667
17.07106781186548,14.571067811865476,20.619760988854622
17.07106781186548,15.116612537455456,20.780201676123298
17.07106781186548,15.692189752942163,20.977558626107587
17.07106781186548,16.237734478532143,21.190644371922442
17.07106781186548,16.783279204122127,21.362626854961654
15.89255650989148,18.24957911383947,22.020997956052327
14.71404520791801,19.42809041581294,22.790902690231494
13.53553390594124,20.60660171778971,23.810443414216202
12.3570226039599,21.78511301977105,25.070239794705675
11.1785113019803,22.96362432175065,26.618971321529013
16.867570535782537,17.274565087948417,21.473481788368503
16.48181216087848,17.660323462852475,21.649251751825542
16.09605378597442,18.04608183775653,21.8793522056541
15.689059233808628,18.45307638992232,22.13057033797774
15.303300858904745,18.838834764826203,22.36256205487049
14.917542484000862,19.224593139730093,22.630009345803483
14.51054793183459,19.631587691896364,22.957655808101933
14.124789556929624,20.017346066801323,23.282636857158554
13.73903118202466,20.40310444170629,23.62557079663381
13.332036629857031,20.810098993873922,24.009254861481036
12.94627825495057,21.19585736878038,24.409671119413726
12.560519880044108,21.581615743686843,24.83489763543283
12.15352532787599,21.98861029585496,25.331614970249294
11.7677669529701,22.374368670760852,25.83462894714907
11.382008578064209,22.760127045666742,26.349396838071634
10.975014025896272,23.16712159783468,27.102152679295124
10.58925565099015,23.5528799727408,28.1453534233342
10.20349727608403,23.938638347646922,29.252301284759177
8.33333333333333,24.14213562373095,30.0
6.666666666666664,24.14213562373095,30.0
4.999999999999999,24.14213562373095,30.0
3.333333333333332,24.14213562373095,30.0
1.666666666666666,24.14213562373095,29.99999999999995
9.712211392256647,24.14213562373095,29.999999999999968
9.166666666666664,24.14213562373095,29.999999999999904
8.621121941076684,24.14213562373095,30.000000000000075
8.045544725589979,24.14213562373095,29.999999999999986
7.499999999999997,24.14213562373095,30.0
6.954455274410017,24.14213562373095,30.000000000000018
6.378878058923313,24.14213562373095,29.99999999999999
5.833333333333332,24.14213562373095,30.000000000000107
5.287788607743352,24.14213562373095,30.000000000000085
4.712211392256647,24.14213562373095,29.999999999999957
4.166666666666666,24.14213562373095,29.99999999999999
3.6211219410766846,24.14213562373095,29.999999999999897
3.0455447255899797,24.14213562373095,29.99999999999989
2.499999999999999,24.14213562373095,29.999999999999982
1.9544552744100185,24.14213562373095,30.000000000000043
1.3788780589233138,24.14213562373095,30.000000000000025
0.833333333333333,24.14213562373095,30.00000000000006
